Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland;Ukendt Region;Total
2021-12-22;76;23;18;19;8;3;147
2021-12-23;72;32;11;21;5;1;142
2021-12-24;43;14;5;17;11;1;91
2021-12-25;69;20;15;14;4;0;122
2021-12-26;55;25;14;13;4;1;112
2021-12-27;84;31;31;26;7;5;184
2021-12-28;86;31;21;23;11;2;174
2021-12-29;95;36;17;28;8;2;186
2021-12-30;90;31;18;20;13;0;172
2021-12-31;60;21;15;18;7;5;126
2022-01-01;83;31;27;21;11;1;174
2022-01-02;93;32;17;20;19;1;182
2022-01-03;110;39;26;31;18;4;228
2022-01-04;88;36;19;29;14;5;191
2022-01-05;74;30;20;22;14;2;162
2022-01-06;85;40;27;18;8;0;178
2022-01-07;76;18;19;24;11;0;148
2022-01-08;78;22;11;13;6;1;131
2022-01-09;68;29;26;23;13;1;160
2022-01-10;73;44;31;28;21;3;200
2022-01-11;103;31;33;22;19;1;209
2022-01-12;93;36;26;31;7;2;195
2022-01-13;113;37;23;30;10;1;214
2022-01-14;83;39;18;34;15;2;191
2022-01-15;66;38;20;30;15;2;171
2022-01-16;86;33;34;38;15;3;209
2022-01-17;114;51;35;40;20;3;263
2022-01-18;106;45;39;46;16;1;253
2022-01-19;103;39;29;39;17;2;229
2022-01-20;106;36;37;31;19;5;234
2022-01-21;113;48;31;24;19;2;237
2022-01-22;113;37;28;27;13;4;222
2022-01-23;123;53;30;27;16;0;249
2022-01-24;148;51;44;45;16;1;305
2022-01-25;120;66;57;31;29;3;306
2022-01-26;129;51;44;54;17;1;296
2022-01-27;144;53;43;55;15;1;311
2022-01-28;117;46;48;44;13;6;274
2022-01-29;106;44;38;43;7;3;241
2022-01-30;120;40;36;35;23;4;258
2022-01-31;137;71;63;57;15;1;344
2022-02-01;152;70;55;45;29;4;355
2022-02-02;131;92;56;59;32;4;374
2022-02-03;124;59;70;66;34;8;361
2022-02-04;142;65;65;63;35;3;373
2022-02-05;104;64;57;51;23;3;302
2022-02-06;111;61;70;52;28;2;324
2022-02-07;162;73;103;84;29;0;451
2022-02-08;127;70;92;82;45;2;418
2022-02-09;157;80;87;80;38;1;443
2022-02-10;136;63;79;95;36;3;412
2022-02-11;138;69;86;73;44;1;411
2022-02-12;90;51;52;61;42;0;296
2022-02-13;132;49;63;79;39;4;366
2022-02-14;167;77;102;74;58;3;481
2022-02-15;145;73;85;83;61;7;454
2022-02-16;140;67;93;107;48;2;457
2022-02-17;131;79;116;92;44;4;466
2022-02-18;132;63;81;66;54;2;398
2022-02-19;78;52;54;64;57;2;307
2022-02-20;121;63;67;70;34;2;357
2022-02-21;154;92;84;102;54;2;488
2022-02-22;99;78;97;78;55;2;409
2022-02-23;106;55;85;77;65;4;392
2022-02-24;128;66;83;66;48;1;392
2022-02-25;94;54;74;76;58;3;359
2022-02-26;72;43;52;54;24;2;247
2022-02-27;90;40;56;47;37;2;272
2022-02-28;120;62;94;80;58;4;418
2022-03-01;97;52;83;73;39;1;345
2022-03-02;95;50;52;69;34;1;301
2022-03-03;103;53;58;56;41;1;312
2022-03-04;107;68;72;59;51;0;357
2022-03-05;60;40;44;37;34;1;216
2022-03-06;65;39;61;56;22;0;243
2022-03-07;90;57;67;50;47;3;314
2022-03-08;71;45;79;61;27;4;287
2022-03-09;89;48;58;45;42;3;285
2022-03-10;55;43;61;56;29;0;244
2022-03-11;64;45;56;51;35;2;253
2022-03-12;51;39;46;49;13;1;199
2022-03-13;58;21;40;38;31;2;190
2022-03-14;84;44;72;52;37;3;292
2022-03-15;66;36;59;50;37;2;250
2022-03-16;55;45;57;47;22;1;227
2022-03-17;54;51;47;42;25;3;222
2022-03-18;58;31;45;34;20;1;189
2022-03-19;49;25;49;23;23;0;169
2022-03-20;40;23;40;29;20;0;152
2022-03-21;62;38;57;39;21;2;219
2022-03-22;57;32;49;34;22;3;197
2022-03-23;62;51;50;46;27;2;238
2022-03-24;48;35;34;19;20;0;156
2022-03-25;38;29;48;32;11;2;160
2022-03-26;31;18;24;30;7;1;111
2022-03-27;34;21;29;19;13;1;117
2022-03-28;57;34;43;32;15;1;182
2022-03-29;44;29;37;23;22;2;157
2022-03-30;34;33;41;32;13;1;154
2022-03-31;40;35;31;22;13;1;142
2022-04-01;47;22;25;20;22;3;139
2022-04-02;33;19;18;14;12;1;97
2022-04-03;30;16;23;25;12;1;107
2022-04-04;54;29;31;24;15;0;153
2022-04-05;44;33;25;24;13;0;139
2022-04-06;43;28;26;27;14;1;139
2022-04-07;32;18;30;20;13;2;115
2022-04-08;35;16;35;13;15;0;114
2022-04-09;20;22;24;18;12;0;96
2022-04-10;32;22;20;12;4;0;90
2022-04-11;42;27;19;20;11;0;119
2022-04-12;35;20;23;19;8;0;105
2022-04-13;38;30;17;21;9;2;117
2022-04-14;23;19;19;13;9;1;84
2022-04-15;26;15;15;18;12;1;87
2022-04-16;25;23;11;18;5;0;82
2022-04-17;30;18;19;13;9;0;89
2022-04-18;38;11;15;17;6;1;88
2022-04-19;40;20;23;10;8;0;101
2022-04-20;36;13;22;16;14;0;101
2022-04-21;28;14;18;20;12;0;92
2022-04-22;31;15;15;12;10;0;83
2022-04-23;23;9;10;9;4;0;55
2022-04-24;25;15;14;6;10;1;71
2022-04-25;27;19;15;18;9;0;88
2022-04-26;34;22;12;9;9;0;86
2022-04-27;19;12;12;13;6;0;62
2022-04-28;21;14;11;11;6;0;63
2022-04-29;24;14;14;9;2;1;64
2022-04-30;25;8;8;7;1;0;49
2022-05-01;17;11;11;5;3;0;47
2022-05-02;28;10;7;9;5;0;59
2022-05-03;22;13;7;12;8;0;62
2022-05-04;23;9;13;7;5;0;57
2022-05-05;20;13;5;5;4;0;47
2022-05-06;19;4;15;11;11;1;61
2022-05-07;10;11;5;7;3;0;36
2022-05-08;12;8;11;7;9;0;47
2022-05-09;17;10;12;6;7;0;52
2022-05-10;20;9;8;8;5;0;50
2022-05-11;15;5;10;2;3;0;35
2022-05-12;15;7;11;5;2;2;42
2022-05-13;15;6;3;7;7;0;38
2022-05-14;12;2;2;5;3;1;25
2022-05-15;14;5;5;8;6;0;38
2022-05-16;22;8;4;11;5;0;50
2022-05-17;15;5;9;5;1;0;35
2022-05-18;14;3;7;6;3;0;33
2022-05-19;18;8;7;7;4;0;44
2022-05-20;8;9;3;5;4;0;29
2022-05-21;7;9;7;6;5;0;34
2022-05-22;10;3;5;4;1;0;23
2022-05-23;17;12;5;3;4;2;43
2022-05-24;12;5;0;6;2;0;25
2022-05-25;11;8;8;6;4;1;38
2022-05-26;13;1;0;2;3;0;19
2022-05-27;13;5;3;3;4;0;28
2022-05-28;8;3;3;3;2;1;20
2022-05-29;13;5;5;5;1;0;29
2022-05-30;11;3;6;10;0;0;30
2022-05-31;9;6;3;4;3;1;26
2022-06-01;10;7;6;3;2;1;29
2022-06-02;7;6;4;8;3;2;30
2022-06-03;15;6;6;3;4;1;35
2022-06-04;6;2;3;4;2;1;18
2022-06-05;17;6;3;8;4;1;39
2022-06-06;10;7;5;4;1;0;27
2022-06-07;14;6;7;4;2;0;33
2022-06-08;11;2;9;5;1;2;30
2022-06-09;15;4;5;4;1;1;30
2022-06-10;20;8;5;2;1;0;36
2022-06-11;16;7;5;6;0;1;35
2022-06-12;15;8;5;3;2;0;33
2022-06-13;16;13;11;7;9;0;56
2022-06-14;27;4;5;8;2;1;47
2022-06-15;8;8;6;5;5;0;32
2022-06-16;20;12;8;5;3;1;49
2022-06-17;20;8;6;5;2;4;45
2022-06-18;21;7;8;11;3;0;50
2022-06-19;15;7;5;11;3;0;41
2022-06-20;15;9;10;12;3;0;49
2022-06-21;34;12;11;7;9;0;73
2022-06-22;30;13;12;13;8;0;76
2022-06-23;31;6;15;9;4;0;65
2022-06-24;32;15;13;12;4;1;77
2022-06-25;23;11;6;11;2;2;55
2022-06-26;28;13;15;11;4;3;74
2022-06-27;41;11;9;16;7;5;89
2022-06-28;34;7;8;24;7;0;80
2022-06-29;35;8;11;13;10;1;78
2022-06-30;21;14;12;11;5;2;65
2022-07-01;33;14;9;8;7;2;73
2022-07-02;21;9;15;8;4;0;57
2022-07-03;29;9;13;11;5;0;67
2022-07-04;39;11;12;14;6;0;82
2022-07-05;22;14;13;16;9;1;75
2022-07-06;29;15;20;13;7;2;86
2022-07-07;35;20;11;16;8;0;90
2022-07-08;38;18;15;16;16;4;107
2022-07-09;31;15;13;6;9;1;75
2022-07-10;40;11;15;14;9;2;91
2022-07-11;50;20;15;20;9;4;118
2022-07-12;51;13;19;10;13;4;110
2022-07-13;47;32;26;13;15;2;135
2022-07-14;40;22;20;14;8;2;106
2022-07-15;46;19;12;15;9;1;102
2022-07-16;44;11;14;9;9;1;88
2022-07-17;39;22;23;19;7;1;111
2022-07-18;70;24;23;19;15;0;151
2022-07-19;47;19;23;18;11;2;120
2022-07-20;60;22;17;19;8;6;132
2022-07-21;43;19;21;7;14;3;107
2022-07-22;39;16;21;18;12;3;109
2022-07-23;33;14;13;11;4;0;75
2022-07-24;24;15;15;16;6;3;79
2022-07-25;34;18;17;19;7;1;96
2022-07-26;24;19;13;17;11;0;84
2022-07-27;38;9;16;9;3;3;78
2022-07-28;30;8;23;10;11;3;85
2022-07-29;35;21;12;17;8;1;94
2022-07-30;28;10;18;12;7;0;75
2022-07-31;28;15;12;18;4;4;81
2022-08-01;41;13;17;14;5;1;91
2022-08-02;31;14;14;12;4;0;75
2022-08-03;33;14;12;14;9;2;84
2022-08-04;35;17;13;10;7;1;83
2022-08-05;34;22;14;10;4;1;85
2022-08-06;26;8;9;8;5;0;56
2022-08-07;22;8;18;15;4;1;68
2022-08-08;27;13;10;9;6;2;67
2022-08-09;31;14;15;12;8;0;80
2022-08-10;27;13;17;15;14;1;87
2022-08-11;27;15;12;13;10;0;77
2022-08-12;27;10;19;13;9;0;78
2022-08-13;28;15;15;16;13;2;89
2022-08-14;26;14;18;16;5;0;79
2022-08-15;37;26;18;17;4;0;102
2022-08-16;37;20;22;14;4;1;98
2022-08-17;27;11;20;17;4;1;80
2022-08-18;21;17;17;14;3;2;74
2022-08-19;20;18;3;15;4;0;60
2022-08-20;15;8;10;10;7;0;50
2022-08-21;13;9;9;8;3;0;42
2022-08-22;15;4;9;18;6;1;53
2022-08-23;14;16;6;15;7;0;58
2022-08-24;19;14;15;8;7;3;66
2022-08-25;26;10;15;9;5;0;65
2022-08-26;22;14;11;11;5;1;64
2022-08-27;13;4;12;10;7;1;47
2022-08-28;15;8;10;4;3;0;40
2022-08-29;14;7;8;18;7;0;54
2022-08-30;14;5;5;8;3;2;37
2022-08-31;6;9;14;10;4;1;44
2022-09-01;9;6;8;11;8;1;43
2022-09-02;17;9;11;12;4;2;55
2022-09-03;14;4;7;7;5;1;38
2022-09-04;15;5;8;3;3;1;35
2022-09-05;21;7;10;5;9;1;53
2022-09-06;19;6;8;8;8;1;50
2022-09-07;31;7;10;4;6;0;58
2022-09-08;15;7;7;13;8;0;50
2022-09-09;17;5;4;16;3;0;45
2022-09-10;12;5;2;4;4;0;27
2022-09-11;16;4;6;8;3;2;39
2022-09-12;21;10;8;10;7;0;56
2022-09-13;17;12;13;7;7;1;57
2022-09-14;19;6;10;5;8;2;50
2022-09-15;11;7;8;9;10;0;45
2022-09-16;21;1;7;6;3;0;38
2022-09-17;16;5;12;7;2;0;42
2022-09-18;17;9;8;10;7;0;51
2022-09-19;21;16;9;15;8;0;69
2022-09-20;20;13;15;10;5;1;64
2022-09-21;21;16;12;13;5;1;68
2022-09-22;16;11;11;15;6;0;59
2022-09-23;25;9;11;14;13;0;72
2022-09-24;24;8;7;13;5;0;57
2022-09-25;29;17;16;11;4;1;78
2022-09-26;31;17;21;14;10;1;94
2022-09-27;31;17;11;21;12;0;92
2022-09-28;26;10;18;13;7;0;74
2022-09-29;28;23;13;10;8;0;82
2022-09-30;26;14;18;14;13;0;85
2022-10-01;18;14;23;11;8;0;74
2022-10-02;24;22;17;12;4;2;81
2022-10-03;34;26;22;13;12;0;107
2022-10-04;28;30;16;23;9;3;109
2022-10-05;30;19;14;14;9;2;88
2022-10-06;32;23;17;10;6;2;90
2022-10-07;27;19;21;19;7;1;94
2022-10-08;28;18;16;9;5;1;77
2022-10-09;24;20;14;14;5;0;77
2022-10-10;49;31;27;24;12;2;145
2022-10-11;31;32;26;22;12;0;123
2022-10-12;25;26;25;15;6;0;97
2022-10-13;30;22;18;17;9;0;96
2022-10-14;41;22;20;17;11;0;111
2022-10-15;33;24;15;13;10;0;95
2022-10-16;34;24;19;13;10;0;100
2022-10-17;29;19;14;19;19;0;100
2022-10-18;37;19;27;19;3;2;107
2022-10-19;29;19;18;17;6;1;90
2022-10-20;33;20;20;10;6;0;89
2022-10-21;24;17;17;10;9;0;77
2022-10-22;27;10;14;12;12;0;75
2022-10-23;28;18;15;15;7;0;83
2022-10-24;30;21;18;13;10;1;93
2022-10-25;22;16;19;10;6;2;75
2022-10-26;27;15;14;12;11;0;79
2022-10-27;26;13;11;11;9;1;71
2022-10-28;23;12;16;9;5;0;65
2022-10-29;16;8;14;5;4;0;47
2022-10-30;13;7;7;7;4;0;38
2022-10-31;20;10;13;15;10;0;68
2022-11-01;13;11;11;10;7;0;52
2022-11-02;20;6;11;8;5;0;50
2022-11-03;20;12;9;11;4;1;57
2022-11-04;13;15;6;4;2;0;40
2022-11-05;7;6;7;4;3;0;27
2022-11-06;9;14;6;4;6;0;39
2022-11-07;18;9;9;8;6;0;50
2022-11-08;17;10;13;7;2;0;49
2022-11-09;10;5;8;5;3;1;32
2022-11-10;19;6;8;5;5;0;43
2022-11-11;14;13;7;5;4;0;43
2022-11-12;11;5;2;3;3;1;25
2022-11-13;9;12;3;6;6;0;36
2022-11-14;11;10;9;3;9;0;42
2022-11-15;10;7;9;6;2;0;34
2022-11-16;14;10;9;2;6;0;41
2022-11-17;15;5;4;8;4;0;36
2022-11-18;12;6;5;8;3;1;35
2022-11-19;8;5;4;2;3;0;22
2022-11-20;11;7;11;3;4;0;36
2022-11-21;16;5;4;9;1;1;36
2022-11-22;18;10;5;7;4;1;45
2022-11-23;18;1;11;3;4;1;38
2022-11-24;20;4;18;10;5;0;57
2022-11-25;16;10;8;8;4;0;46
2022-11-26;14;8;4;6;3;0;35
2022-11-27;19;5;8;9;5;0;46
2022-11-28;25;10;11;10;19;1;76
2022-11-29;27;9;22;9;1;0;68
2022-11-30;26;9;11;11;2;0;59
2022-12-01;35;9;11;11;4;0;70
2022-12-02;23;12;11;9;6;0;61
2022-12-03;15;10;16;6;5;1;53
2022-12-04;27;8;8;9;7;2;61
2022-12-05;38;8;18;8;7;1;80
2022-12-06;31;16;16;11;6;1;81
2022-12-07;24;10;12;11;14;0;71
2022-12-08;31;6;14;19;4;1;75
2022-12-09;31;11;9;11;5;0;67
2022-12-10;22;14;12;12;7;0;67
2022-12-11;34;15;20;15;2;0;86
2022-12-12;36;15;18;19;12;0;100
2022-12-13;36;16;16;10;14;0;92
2022-12-14;46;18;22;23;9;1;119
2022-12-15;36;19;8;21;12;0;96
2022-12-16;30;17;26;21;10;1;105
2022-12-17;32;10;13;19;10;0;84
2022-12-18;41;20;18;15;11;0;105
2022-12-19;54;23;27;21;14;2;141
2022-12-20;51;25;21;19;15;0;131
2022-12-21;54;21;22;22;8;0;127
2022-12-22;36;26;25;27;16;0;130
2022-12-23;46;19;25;18;8;0;116
2022-12-24;33;12;17;9;9;0;80
2022-12-25;40;17;24;23;11;0;115
2022-12-26;37;18;16;19;11;1;102
2022-12-27;47;21;35;22;16;0;141
2022-12-28;43;37;24;26;11;3;144
2022-12-29;42;25;28;26;14;1;136
2022-12-30;41;22;16;18;4;0;101
2022-12-31;27;18;18;14;8;3;88
2023-01-01;33;22;20;14;10;1;100
2023-01-02;38;27;21;23;12;0;121
2023-01-03;36;27;21;25;13;1;123
2023-01-04;47;11;14;15;14;2;103
2023-01-05;43;14;19;21;6;1;104
2023-01-06;30;24;17;11;7;0;89
2023-01-07;18;10;8;10;5;0;51
2023-01-08;16;10;13;10;7;0;56
2023-01-09;22;15;5;11;12;0;65
2023-01-10;23;14;16;8;4;1;66
2023-01-11;17;15;15;10;6;0;63
2023-01-12;17;18;12;10;6;0;63
2023-01-13;13;9;12;11;3;0;48
2023-01-14;11;7;6;6;4;0;34
2023-01-15;21;6;12;5;6;0;50
2023-01-16;11;8;13;10;10;1;53
2023-01-17;12;5;9;6;1;0;33
2023-01-18;10;5;9;5;2;0;31
2023-01-19;14;8;11;3;3;0;39
2023-01-20;5;4;6;5;5;0;25
2023-01-21;7;3;3;5;2;0;20
2023-01-22;14;4;8;2;2;0;30
2023-01-23;8;2;3;4;2;0;19
2023-01-24;12;3;4;5;2;0;26
2023-01-25;6;4;4;6;0;0;20
2023-01-26;6;5;5;4;1;0;21
2023-01-27;8;7;2;4;1;0;22
2023-01-28;4;4;4;3;1;0;16
2023-01-29;9;3;5;4;1;1;23
2023-01-30;10;6;3;5;4;0;28
2023-01-31;5;2;4;9;9;0;29
2023-02-01;7;6;3;7;3;1;27
2023-02-02;7;5;3;5;4;0;24
2023-02-03;10;2;8;5;1;0;26
2023-02-04;6;6;0;3;1;0;16
2023-02-05;6;3;9;5;4;0;27
2023-02-06;6;5;14;3;5;0;33
2023-02-07;10;2;7;8;1;0;28
